All days with start 2021-01-01,theoretical curve (deg),fitted curve (deg),Days when measured alpha,alpha naive min (deg),uncertainty_pm (deg)
0.0,80.77215930236207,79.9585728819714,57.0,66.5,1.5
1.0,80.69962420154593,79.88133650479044,58.0,66.0,1.5
2.0,80.6202674744245,79.79737628836084,63.0,64.5,1.5
3.0,80.53411263610865,79.70671716903252,68.0,62.0,1.5
4.0,80.44118521613636,79.60938607274277,79.0,58.0,1.5
5.0,80.34151275090771,79.5054119070192,241.0,50.0,1.5
6.0,80.23512477552525,79.39482555239414,267.0,59.5,1.5
7.0,80.12205281504212,79.27765985323309,284.0,65.0,1.5
8.0,80.00233037512052,79.15394960797983,289.0,67.0,1.5
9.0,79.8759929321032,79.02373155882127,295.0,69.0,1.5
10.0,79.74307792250114,78.88704438077488,326.0,77.5,1.5
11.0,79.6036247319002,78.7439286702022,338.0,80.0,1.5
12.0,79.4576746832904,78.59442693275159,370.0,80.25,0.5
13.0,79.30527102482102,78.43858357073404,385.0,77.5,0.5
14.0,79.14645891698521,78.27644486993549,386.0,77.0,0.5
15.0,78.98128541923795,78.10805898586995,389.0,76.75,0.5
16.0,78.80979947605137,77.93347592947714,392.0,75.75,0.5
17.0,78.63205190241139,77.75274755226928,394.0,75.0,0.5
18.0,78.44809536876019,77.56592753093089,395.0,74.75,0.5
19.0,78.25798438538882,77.37307135137688,405.0,71.75,0.5
20.0,78.06177528628456,77.17423629227304,418.0,67.375,0.5
21.0,77.85952621243803,76.96948140802417,423.0,65.375,0.5
22.0,77.65129709461469,76.75886751123484,428.0,63.5,0.5
23.0,77.43714963559611,76.54245715464788,429.0,63.25,0.5
24.0,77.21714729189608,76.32031461256611,436.0,60.5,0.5
25.0,76.99135525495707,76.0925058617628,437.0,60.0,0.5
26.0,76.75984043183263,75.85909856188633,438.0,59.75,0.5
27.0,76.52267142536134,75.62016203536524,441.0,58.625,0.5
28.0,76.27991851383834,75.37576724681925,444.0,57.375,0.5
29.0,76.03165363019036,75.1259867819827,472.0,46.75,0.5
