date, time_of_day (hh:mm), angle (deg), angle_uncertainty_pm (deg)
2021-02-27, 10:18, 71.0, 1.5
2021-02-27, 12:00, 66.5, 1.5
2021-02-27, 13:10, 67.0, 1.5
2021-02-28, 10:21, 70.0, 1.5
2021-02-28, 11:59, 66.0, 1.5
2021-02-28, 13:17, 66.0, 1.5
2021-03-01, 08:55, 78.0, 1.5
2021-03-01, 09:58, 72.0, 1.5
2021-03-01, 10:56, 68.0, 1.5
2021-03-01, 12:11, 65.5, 1.5
2021-03-02, 09:52, 72.5, 1.5
2021-03-02, 10:56, 67.5, 1.5
2021-03-02, 11:59, 66.0, 1.5
2021-03-05, 09:58, 70.0, 1.5
2021-03-05, 10:58, 66.0, 1.5
2021-03-05, 12:21, 64.5, 1.5
2021-03-05, 13:11, 65.0, 1.5
2021-03-10, 09:08, 72.5, 1.5
2021-03-10, 10:06, 68.5, 1.5
2021-03-10, 12:05, 62.0, 1.5
2021-03-10, 14:11, 66.0, 1.5
2021-03-14, 10:56, 63.0, 1.5
2021-03-14, 12:11, 61.0, 1.5
2021-03-18, 12:13, 60.0, 1.5
2021-03-21, 09:07, 69.0, 1.5
2021-03-21, 10:13, 63.0, 1.5
2021-03-21, 11:52, 58.0, 1.5
2021-03-21, 12:56, 59.0, 1.5
2021-03-22, 12:26, 58.0, 1.5
2021-04-16, 11:46, 50.5, 1.5
2021-04-16, 12:34, 49.0, 1.5
2021-04-19, 12:18, 49.0, 1.5
2021-08-22, 13:04, 46.0, 1.5
2021-08-23, 12:32, 48.0, 1.5
2021-08-24, 11:01, 54.0, 1.5
2021-08-24, 12:01, 49.0, 1.5
2021-08-24, 13:13, 48.0, 1.5
2021-08-25, 11:00, 54.5, 1.5
2021-08-25, 11:32, 52.0, 1.5
2021-08-25, 12:00, 50.0, 1.5
2021-08-25, 12:36, 48.0, 1.5
2021-08-30, 11:00, 55.0, 1.5
2021-08-30, 11:30, 52.5, 1.5
2021-08-30, 12:00, 51.0, 1.5
2021-08-30, 12:32, 50.0, 1.5
2021-08-30, 13:06, 50.0, 1.5
2021-09-01, 12:30, 50.0, 1.5
2021-09-01, 13:00, 50.0, 1.5
2021-09-03, 12:08, 51.0, 1.5
2021-09-03, 13:15, 50.0, 1.5
2021-09-04, 12:00, 51.0, 1.5
2021-09-04, 13:15, 51.0, 1.5
2021-09-10, 12:43, 53.0, 1.5
2021-09-13, 12:01, 55.0, 1.5
2021-09-13, 12:46, 54.0, 1.5
2021-09-25, 11:02, 63.0, 1.5
2021-09-25, 12:24, 60.0, 1.5
2021-09-25, 13:08, 59.5, 1.5
2021-09-25, 14:21, 61.0, 1.5
2021-09-26, 11:35, 61.0, 1.5
2021-09-26, 12:08, 60.0, 1.5
2021-09-26, 12:47, 59.0, 1.5
2021-09-28, 12:22, 60.5, 1.5
2021-09-28, 12:51, 60.0, 1.5
2021-10-12, 11:57, 66.0, 1.5
2021-10-12, 12:27, 65.0, 1.5
2021-10-12, 13:00, 65.0, 1.5
2021-10-13, 11:58, 66.0, 1.5
2021-10-12, 13:14, 65.0, 1.5
2021-10-16, 12:25, 67.0, 1.5
2021-10-16, 12:59, 66.5, 1.5
2021-10-17, 11:30, 68.5, 1.5
2021-10-17, 12:05, 68.0, 1.5
2021-10-17, 12:32, 68.0, 1.5
2021-10-17, 13:02, 67.0, 1.5
2021-10-21, 12:52, 68.0, 1.5
2021-10-21, 14:13, 70.0, 1.5
2021-10-23, 11:31, 71.5, 1.5
2021-10-23, 12:03, 69.5, 1.5
2021-10-23, 12:31, 69.0, 1.5
2021-10-23, 13:04, 69.0, 1.5
2021-10-23, 13:32, 70.0, 1.5
2021-11-06, 12:22, 73.0, 1.5
2021-11-21, 11:41, 77.5, 1.5
2021-11-21, 12:28, 77.5, 1.5
2021-11-23, 11:32, 78.0, 1.5
2021-11-23, 12:00, 77.5, 1.5
2021-11-23, 12:28, 78.0, 1.5
2021-12-05, 10:35, 81.5, 1.5
2021-12-05, 11:05, 80.5, 1.5
2021-12-05, 11:34, 80.0, 1.5
2021-12-05, 12:00, 80.0, 1.5
2021-12-05, 12:26, 80.0, 1.5
2021-12-05, 12:54, 80.5, 1.5
2022-01-06, 11:45, 80.50, 0.5
2022-01-06, 12:00, 80.25, 0.5
2022-01-06, 12:15, 80.25, 0.5
2022-01-06, 12:30, 80.25, 0.5
2022-01-06, 12:50, 80.50, 0.5
2022-01-21, 11:30, 78.25, 0.5
2022-01-21, 11:45, 77.75, 0.5
2022-01-21, 12:25, 77.50, 0.5
2022-01-21, 12:35, 77.50, 0.5
2022-01-21, 12:50, 77.75, 0.5
2022-01-22, 11:34, 77.75, 0.5
2022-01-22, 11:50, 77.50, 0.5
2022-01-22, 12:05, 77.25, 0.5
2022-01-22, 12:20, 77.00, 0.5
2022-01-22, 12:35, 77.25, 0.5
