All days with start 2022-01-01,theoretical curve (deg),fitted curve (deg),Days when measured alpha,alpha naive min (deg),uncertainty_pm (deg)
0.0,80.77215930236207,80.81690791047356,5.0,80.25,0.5
1.0,80.69962420154593,80.70472311057011,20.0,77.5,0.5
2.0,80.6202674744245,80.58617469978053,21.0,77.0,0.5
3.0,80.53411263610865,80.46129589426931,24.0,76.75,0.5
4.0,80.44118521613636,80.33012168391883,27.0,75.75,0.5
5.0,80.34151275090771,80.19268882252548,29.0,75.0,0.5
6.0,80.23512477552525,80.04903581750156,30.0,74.75,0.5
7.0,80.12205281504212,79.8992029190859,40.0,71.75,0.5
8.0,80.00233037512052,79.7432321090661,53.0,67.375,0.5
9.0,79.8759929321032,79.58116708901565,58.0,65.375,0.5
10.0,79.74307792250114,79.41305326804913,63.0,63.5,0.5
11.0,79.6036247319002,79.23893775009898,64.0,63.25,0.5
12.0,79.4576746832904,79.05886932071745,71.0,60.5,0.5
13.0,79.30527102482102,78.87289843340733,72.0,60.0,0.5
14.0,79.14645891698521,78.68107719548532,73.0,59.75,0.5
15.0,78.98128541923795,78.4834593534821,76.0,58.625,0.5
16.0,78.80979947605137,78.28010027808301,79.0,57.375,0.5
17.0,78.63205190241139,78.07105694861369,107.0,46.75,0.5
18.0,78.44809536876019,77.85638793707501,112.0,45.0,0.5
19.0,78.25798438538882,77.6361533917318,133.0,39.0,0.5
20.0,78.06177528628456,77.41041502025975,147.0,36.0,0.5
21.0,77.85952621243803,77.17923607245558,155.0,35.0,0.5
22.0,77.65129709461469,76.94268132251501,163.0,34.5,0.5
23.0,77.43714963559611,76.70081705088363,164.0,34.5,0.5
24.0,77.21714729189608,76.4537110256857,165.0,34.25,0.5
25.0,76.99135525495707,76.20143248373624,166.0,34.25,0.5
26.0,76.75984043183263,75.9440521111414,167.0,34.25,0.5
27.0,76.52267142536134,75.68164202349298,171.0,34.25,0.5
28.0,76.27991851383834,75.41427574566224,185.0,34.75,0.5
29.0,76.03165363019036,75.1420281911989,186.0,35.0,0.5
30.0,75.77795034066041,74.86497564134116,188.0,35.25,0.5
31.0,75.51888382300857,74.58319572364228,199.0,36.75,0.5
32.0,75.25453084423509,74.29676739022013,212.0,39.75,0.5
33.0,74.98496973783281,74.00577089563554,216.0,40.75,0.5
34.0,74.71028038057518,73.71028777440569,225.0,43.75,0.5
35.0,74.430544168847,73.41040081815893,228.0,44.25,0.5
36.0,74.14584399452505,73.10619405243727,229.0,44.5,0.5
37.0,73.85626422041527,72.79775271315329,233.0,46.0,0.5
38.0,73.56189065525439,72.48516322270774,234.0,46.25,0.5
39.0,73.26281052828288,72.16851316577487,259.0,55.25,0.5
40.0,72.95911246339702,71.84789126476194,,,
41.0,72.6508864528878,71.5233873549501,,,
42.0,72.33822383077418,71.19509235932328,,,
43.0,72.0212172457389,70.86309826309255,,,
44.0,71.69996063367469,70.52749808792257,,,
45.0,71.37454918984896,70.18838586586787,,,
46.0,71.0450793406955,69.84585661302596,,,
47.0,70.71164871524113,69.50000630291461,,,
48.0,70.3743561161762,69.15093183958106,,,
49.0,70.0333014905772,68.79873103045036,,,
50.0,69.68858590029026,68.4435025589206,,,
51.0,69.34031149198432,68.08534595671279,,,
52.0,68.98858146688296,67.72436157598301,,,
53.0,68.63350005018357,67.36065056120461,,,
54.0,68.27517246017322,66.9943148208285,,,
55.0,67.91370487705015,66.62545699872938,,,
56.0,67.54920441146035,66.25418044544577,,,
57.0,67.18177907275835,65.88058918922228,,,
58.0,66.81153773700167,65.50478790686178,,,
59.0,66.4385901146886,65.12688189439595,,,
60.0,66.06304671824847,64.74697703758233,,,
61.0,65.68501882929453,64.36517978223608,,,
62.0,65.30461846564882,63.981597104404884,,,
63.0,64.92195834814878,63.596336480395216,,,
64.0,64.53715186724568,63.209505856658495,,,
65.0,64.15031304940467,62.82121361954552,,,
66.0,63.761556523316116,62.43156856493757,,,
67.0,63.37099748592873,62.04067986776284,,,
68.0,62.97875166831428,61.64865705140662,,,
69.0,62.58493530137386,61.2556099570239,,,
70.0,62.18966508139626,60.86164871276283,,,
71.0,61.79305813547828,60.46688370290788,,,
72.0,61.39523198681748,60.07142553695121,,,
73.0,60.99630451988749,59.67538501860084,,,
74.0,60.59639394550634,59.27887311473457,,,
75.0,60.195618765807986,58.88200092430803,,,
76.0,59.79409773912761,58.484879647225775,,,
77.0,59.391949844810945,58.08762055318417,,,
78.0,58.98929424795815,57.6903349504946,,,
79.0,58.58625026411257,57.29313415489591,,,
80.0,58.18293732390505,56.896129458364804,,,
81.0,57.77947493766397,56.49943209793284,,,
82.0,57.375982660001796,56.10315322451885,,,
83.0,56.97258005438848,55.7074038717855,,,
84.0,56.5693866577222,55.31229492502866,,,
85.0,56.16652194490803,54.917937090108396,,,
86.0,55.764105293454904,54.52444086243022,,,
87.0,55.3622559481015,54.13191649598526,,,
88.0,54.96109298548147,53.740473972458176,,,
89.0,54.56073527883845,53.350222970411274,,,
90.0,54.16130146280135,52.96127283455358,,,
91.0,53.762909898230326,52.573732545103525,,,
92.0,53.36567863714398,52.18771068725363,,,
93.0,52.96972538773792,51.803315420745975,,,
94.0,52.575167479505296,51.42065444956685,,,
95.0,52.1821218284696,51.0398349917691,,,
96.0,51.79070490253984,50.66096374943058,,,
97.0,51.40103268699864,50.28414687875728,,,
98.0,51.013220650133285,49.909489960339315,,,
